0 110 36 1 1
3057 69 65 1 0
6695 52 120 1 1
8177 94 94 1 1
10225 66 102 1 1
10857 63 69 -1 0
24354 95 113 -1 0
24355 89 113 1 0
30732 85 121 -1 1
31881 19 77 1 1
32363 94 98 1 0
34202 99 98 1 0
39507 29 118 1 1
40627 120 100 1 0
